id;user_id;days_before;channels
1;jealously stable;17770;barring zowie
2;contradict;27779;dulcimer
3;out hydrolyze upon;22111;celebrated woot
4;bludgeon;5430;freckle microblog
5;by canter;26802;sympathetically
6;glow about;18874;embed coolly
7;whoa oof;23355;through hm
8;hm;10347;once meaningfully although
9;council;26570;amid aside
10;brr appliance;32615;rapid swerve including
11;pro;16841;zowie dwell poorly
12;psst hoarse;6392;punctuation closely
13;to;32055;minus if
14;however maintainer;1001;seafood emerge
15;councilman;16175;shudder beside mmm
16;furthermore wherever finally;20172;normal
17;enormously pile;13378;before kiddingly mmm
18;as address;13211;down programme
19;gadzooks;3447;whether including
20;gosh woot consequently;31988;afore absolve
21;yowza pace silk;12435;boo than
22;a;13386;whoever likewise clamor
23;as disposer;13087;halt
24;even mockingly worthy;1331;ack council
25;shyly;8730;sustenance
26;forenenst median;13653;blaring slipper
27;often minus;17854;than phooey
28;ascertain afore needily;24941;old brave vivaciously
29;truly not;7151;remarkable closely potentially
30;indeed;23045;sneak kooky
