id;slug;name;layout
1;when sting aw;wherever;sunder
2;healthily gleefully;except;than cannon fooey
3;fooey fail;amidst ew;roger
4;ouch frightfully ski;foolishly bah;out
5;likewise suddenly;brr co-producer;unless
6;now steeple pfft;supportive fairly;yeast doting
7;overdue;zowie round versus;amend
8;degrease;gym equally blissfully;easily plus bravely
9;er via apropos;recovery solicit fork;although tattered veg
10;uh-huh graduate;netsuke whoa;except longingly prance
11;apud likewise tempting;which focused impassioned;yahoo instead analogy
12;substantiate newsprint ew;negligible abaft than;readjust across beneficial
13;beneath boohoo;nimble whose;ski down
14;drat;questioningly;oh phooey sham
15;towards;phew platypus;yahoo
16;ugh acidly;that remorseful;nectarine supposing libel
17;woot pocket-watch;failing scrabble;seemingly lonely whoa
18;motionless wherever;yin;soon sticker
19;finally;after shampoo unruly;detain boggle gazebo
20;greedily;across;yet though oh
21;including;curiously institute out;hmph futon
22;supposing boo;thin finally;why
23;seemingly bustling sauerkraut;geez instead;bashfully
24;pfft aw strictly;shush doubter outside;sad surprisingly under
25;gosh coolly;cinder;offset clamor
26;boo than bleakly;than;inwardly now taxicab
27;maroon during wriggler;sideboard provided;entire abaft
28;yippee;mad slump speedily;academics yesterday
29;trusty creator;founder serve;as but peninsula
30;when jubilant wherever;plus;edge worth elevation
