id;slug;title;summary;body_html;status;published_at;view_count;author_name
1;of;eek geez;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;aha censor because;2026-07-15T11:23:22;13510;gadzooks throughout round
2;kielbasa;animated;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;boo;2026-07-15T12:26:20;27665;cycle
3;towards afore;spirit phooey dally;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;repeatedly;2026-07-15T13:02:52;26525;etch
4;ceramic;mealy plus boulevard;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;airmail whose;2026-07-16T08:57:13;1881;vanish
5;duh sharply;pish geez;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;what meanwhile;2026-07-15T17:49:45;10043;yowza
6;and;blindly ouch unhappy;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;hmph moisten;2026-07-16T06:42:33;10142;ick almost slump
7;ouch ravioli;blue modulo;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;disclosure;2026-07-15T14:17:40;24155;floss tidy likewise
8;ouch nor;little what;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;overcoat beneath;2026-07-15T12:54:20;8371;phew
9;liberalize till;recklessly;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;dazzling;2026-07-16T02:23:23;6842;jaggedly
10;inasmuch;shameful after governance;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;knife;2026-07-15T23:12:31;15565;zowie masterpiece
11;breastplate pro internal;eyebrow usable;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;baggy;2026-07-15T14:19:12;11784;ha
12;communicate smoke redact;instead doubtfully pop;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;plastic react;2026-07-15T19:18:40;19120;readmit off
13;educated hmph yum;coop;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;qualified gosh since;2026-07-15T18:24:47;11027;inculcate duh
14;secret rudely;brr;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;bravely polyester browse;2026-07-15T21:26:09;19688;since
15;swiftly ugh next;in phooey;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;against deploy;2026-07-15T16:53:04;19058;fidget disconnection adjourn
16;warp;abnegate only hence;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;down than ugh;2026-07-16T09:52:02;11538;meatloaf trust
17;because now;afore;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;propound;2026-07-15T15:08:58;31423;er winged
18;general membership;stay times;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;final;2026-07-16T01:08:07;13349;since whenever
19;broadly;whoa object;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;pfft;2026-07-16T04:35:11;32511;commemorate
20;vet deserted;versus pillbox interchange;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;gape mmm black;2026-07-16T09:39:27;826;alongside unsung
21;a midst;quarrelsomely configuration elliptical;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;till entrench;2026-07-16T02:55:25;13208;a
22;huzzah terrorise uh-huh;minus patiently;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;like;2026-07-15T21:43:30;8425;abaft whenever
23;or why geez;christen owlishly except;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;that lid exactly;2026-07-15T12:48:50;14067;alive since lest
24;save zen tinderbox;roasted actually coincide;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;um randomize;2026-07-15T20:08:52;4684;where positively
25;made-up;given after;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;boohoo during provided;2026-07-16T08:00:27;18766;diversity inveigle
26;tinted often behold;qua but;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;till meh where;2026-07-15T17:01:10;1476;yesterday
27;pro and;boo remand thoroughly;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;yet considering;2026-07-16T06:45:29;18229;swerve partially miskey
28;submitter twist;gasp seemingly;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;yuck forenenst;2026-07-15T16:16:52;30314;retrospectivity
29;properly although;towards;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;humble as;2026-07-15T17:44:47;13474;ameliorate for
30;indeed heavenly reluctantly;where;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;jubilant information hence;2026-07-16T10:15:12;6565;joyful incidentally vice
