id;lunar_day;lunar_month;leap_month;can_chi;note
1;25584;7023;true;lumbering in;untimely eek knight
2;19256;19192;false;ha instead haunting;around but ah
3;16033;31161;true;fooey;however unto
4;11975;17061;true;vein times as;strait exhaust
5;26150;32128;true;hm fort mozzarella;annex
6;21390;11182;true;like absent drat;drat
7;13116;4385;true;daughter aw;thick
8;25510;11454;true;corner clearly mysteriously;round because hmph
9;5609;26670;false;even ignorance;incidentally uproot
10;13488;6613;false;immediately lack afterwards;whenever
11;9554;19939;true;crossly hence unless;knavishly
12;8264;13252;true;sediment because;to decryption
13;16902;19627;false;boohoo excluding;justly instead structure
14;5278;14720;false;willing jut;though before
15;17313;22838;true;overload versus;mechanically
16;4978;13416;true;or unlike chops;thoughtfully
17;18919;7529;true;unlike whose;ugh newsletter
18;6339;6759;true;scratch round;but
19;8101;17596;false;daintily off;gifted cheerful
20;20563;7616;false;whack;duh
21;2941;28867;false;furthermore guacamole;phew bah
22;26538;7940;false;meanwhile sternly extract;topsail championship forecast
23;30975;13392;false;loftily even;monthly
24;31386;10359;true;after;astride
25;11294;13767;false;grown;whenever unsung yet
26;22939;26208;false;tuba;ferret indeed
27;26558;30030;false;inasmuch thankfully narrow;cycle babushka
28;17691;15265;true;off gnaw without;ew aw
29;14618;27665;false;gust;who inside physically
30;31088;32569;true;shyly square giving;brr
