id;household_name;headcount;vehicles;assignment
1;atop;9250;32605;but
2;potable;23330;4706;fooey
3;ski;16537;30409;worse elderly
4;glider when down;26803;1323;silently an shameless
5;husk eyebrow probate;20261;10587;beneficial director lest
6;frail arrogantly consequently;26092;2203;superb out frugal
7;key disclosure regarding;4610;5020;vivaciously
8;drat shimmering chainstay;19205;20054;madly
9;separately partially;19954;30586;accomplished yowza
10;indeed;3075;18766;frankly
11;correctly circa frail;2657;6147;apparatus agreement gentle
12;wasabi meh;2468;28662;who tensely
13;eek;24126;6652;quit dimly
14;brr toady;24511;2815;which chap whoever
15;lest;16396;22648;phrase
16;fervently tag;30034;14025;certainly nearly magnetize
17;formula lest;27607;31320;newsstand
18;unlike;17020;24626;briefly provided
19;afore oof actually;21960;19580;afraid
20;appropriate thorough unless;10283;11529;recovery
21;common second;17670;18460;scary knavishly
22;likewise;8818;12004;deceivingly
23;phew aged pish;31719;29550;loosely for or
24;and cleverly shakily;28487;13717;promptly
25;forgo variable;27436;29570;when glaring who
26;heavily why serpentine;31558;9389;blacken
27;provider suddenly on;4404;16299;plain
28;ha;14419;19996;willing incidentally safely
29;crossly seafood;9338;15367;quietly ashamed than
30;runny between;19423;30923;beautifully
