id;title;description;cover_object_key
1;boastfully gray weakly;../fake-data/blob/hipster.txt;beside easily now
2;judicious whose;../fake-data/blob/hipster.txt;urgently shred agreeable
3;obsess gadzooks vastly;../fake-data/blob/hipster.txt;down horn yowza
4;supposing bungalow sizzle;../fake-data/blob/hipster.txt;always provided
5;why indeed;../fake-data/blob/hipster.txt;as oof
6;nor;../fake-data/blob/hipster.txt;stitcher
7;bah gah;../fake-data/blob/hipster.txt;hmph via waist
8;upside-down etch;../fake-data/blob/hipster.txt;fooey unexpectedly woot
9;while favorable woefully;../fake-data/blob/hipster.txt;scornful until upward
10;instead weatherize inspect;../fake-data/blob/hipster.txt;longingly gadzooks
11;awareness;../fake-data/blob/hipster.txt;weird but monthly
12;breastplate;../fake-data/blob/hipster.txt;inveigle victoriously
13;yippee;../fake-data/blob/hipster.txt;mid carpool wisely
14;slide;../fake-data/blob/hipster.txt;ew
15;where clamour;../fake-data/blob/hipster.txt;lest aha total
16;painfully celebrated because;../fake-data/blob/hipster.txt;starboard verbally
17;obediently pantyhose alongside;../fake-data/blob/hipster.txt;intensely worldly yet
18;quizzically braid hmph;../fake-data/blob/hipster.txt;enormously up
19;useless;../fake-data/blob/hipster.txt;oof
20;underpants yippee merit;../fake-data/blob/hipster.txt;sometimes terribly
21;inasmuch offensively;../fake-data/blob/hipster.txt;kosher elegantly
22;but;../fake-data/blob/hipster.txt;considering expatiate
23;unnaturally;../fake-data/blob/hipster.txt;wildly
24;solemnly;../fake-data/blob/hipster.txt;uh-huh what why
25;happily round;../fake-data/blob/hipster.txt;paltry keenly valiantly
26;waist a yearningly;../fake-data/blob/hipster.txt;daddy
27;ew fatal alongside;../fake-data/blob/hipster.txt;fortunately
28;gee;../fake-data/blob/hipster.txt;woot
29;boohoo anenst quip;../fake-data/blob/hipster.txt;gentle
30;baggy while;../fake-data/blob/hipster.txt;greatly minor provided
