id;role
1;troubled finally pomelo
2;trolley inside tut
3;insignificant tenement
4;culminate
5;wallop till airman
6;outrank athwart since
7;hence replacement
8;knuckle pillow fishery
9;gust while eek
10;miskey regularly complication
11;primary gray gracefully
12;fireplace only
13;amongst barring
14;rigidly afore
15;about drat
16;likewise rationalize beneficial
17;but against emergent
18;aw
19;mmm mechanic
20;lovely than
21;ecliptic
22;colorful
23;haversack disinherit
24;uh-huh brr dispense
25;unbearably parched
26;descendant
27;although
28;sharply
29;challenge yahoo
30;mechanically without rebel
